"{'border': 100, 'loc_back_radius': 100, 'max_radius': 60, 'selection_std_multiplier': 4, 'growth_std_multiplier': 4}"
Name,Centre x,Centre y,Calibrated Magnitude,CM Error,Radius,Area,Total Uncorrected Flux Through Aperture,F Error form Bakcgorund Removal,F Number Counting Error,Aperture Cutoff Flux Correction,ACFC Error,Background Flux Mean,Background Flux Std
0,634,3115,9.398986676308525,0.0007657352616827119,36,4053,16150762,567.6971123402753,1514.267720864594,4.117374853820991e-26,4.4155357647498445e-26,3419.1352749932266,8.9171974522293
1,675,2672,9.590888458340757,0.000850579296051714,39,4777,18250365,586.971080955498,1386.1885535245656,2.981472752018463e-38,4.4354780458967507e-38,3418.221958148937,8.492569002123142
2,446,2310,9.320679924209646,0.000730669874198234,31,3001,12724803,535.0198832619172,1569.8711745344856,8.135023324690081e-16,8.244535256751987e-16,3418.962844173847,9.766454352441613
3,188,687,9.990141673405986,0.0010247597831679139,22,1517,6515263,496.1615820165719,1153.378005508293,6.30486619412093e-14,7.327943997938932e-14,3417.9183760116757,12.738853503184714
4,704,2347,9.789497750251792,0.0008983553089668811,26,2121,8854214,391.1194544261386,1265.0289079364195,3.2005325748833594e-18,3.973976174044575e-18,3420.04519664554,8.492569002123142
5,966,2956,10.002890705781455,0.0010147080064873272,28,2453,9697222,441.6489043530117,1146.626194237893,6.621126858116052e-25,1.2117236619409528e-24,3417.2321119802386,8.9171974522293
6,894,1237,9.993793442358859,0.0009846255054576044,21,1373,6037857,346.15215363080756,1151.4399977293895,5.162967376222384e-12,4.916016950100784e-12,3431.9322153160547,9.341825902335456
7,2278,765,9.94409850999054,0.000997811395500155,25,1961,8083569,488.9013464650512,1178.094959891746,2.4892649437270547e-17,2.5909741230230423e-17,3414.411660110997,11.040339702760084
8,208,3766,9.971434893204474,0.0010781888711220297,28,2453,9748434,672.9888066331607,1163.357037481316,1.902050085507516e-20,3.66950498292444e-20,3422.3540168539325,13.588110403397028
9,577,295,10.574276866612191,0.001406439370238597,24,1793,6908326,485.4706706692004,881.3423245618957,5.170196756358532e-29,1.7692784929820198e-28,3419.722089757855,11.464968152866241
10,1598,4145,10.263488360184185,0.0012298691421012845,31,3001,11282134,581.5433513716491,1016.9563863264914,4.288219401999569e-32,1.0811330861112766e-31,3414.839622895623,10.615711252653927
11,1932,3049,10.627950068876217,0.0013453963646860856,20,1257,5032010,316.1520644806391,859.824837359899,8.278396490422211e-16,1.7890953133720943e-15,3415.0447486547523,8.9171974522293
12,1798,4322,10.39733597844845,0.0012753380425381733,25,1961,7595359,488.9013464650512,956.1649159374703,7.770281521502572e-18,1.187365304722013e-17,3406.9901343856654,11.040339702760084
13,2385,3519,10.627778161646907,0.0015410813423054654,25,1961,7434889,601.7247341108323,859.8929091234514,1.9269722538806238e-23,6.163188010012433e-23,3414.315749535547,13.588110403397028
14,360,2179,10.443543059168594,0.0012965529691376162,24,1793,7005942,467.49027545923,936.0334914800817,8.746007691266744e-21,2.5003551875364996e-20,3418.7302302440644,11.040339702760084
15,2260,1313,9.561121421128528,0.0009831552699360946,46,6625,24693000,1105.9920574844812,1405.3215815318658,5.596266100670468e-47,4.177009994532015e-46,3429.1428305631357,13.588110403397028
16,1493,1648,10.740949848344703,0.002449143499682231,28,2453,9095508,1261.8540124371764,816.2252589234271,5.448086269394417e-37,2.1321628528553263e-36,3436.3164805117754,25.477707006369428
