"{'tlp': (1900, 2295), 'brp': (2261, 2000), 'border': 50, 'loc_back_radius': 50, 'max_radius': 30, 'selection_std_multiplier': 4, 'growth_std_multiplier': 4}"
Name,Centre x,Centre y,Calibrated Magnitude,CM Error,Radius,Area,Total Uncorrected Flux Through Aperture,F Error form Bakcgorund Removal,F Number Counting Error,Aperture Cutoff Flux Correction,ACFC Error,Background Flux Mean,Background Flux Std
0,69,133,12.604395109359228,0.004644006561390978,24,1793,6241487,377.5882994093781,346.035756964565,1.8389701492325891e-09,4.287993802525368e-09,3414.247771836007,8.9171974522293
1,270,84,13.378406720283124,0.006422626756101014,15,709,2479676,248.74530193229356,242.27843358757053,1.0539270584777773,0.5406069316568692,3414.636333735336,9.341825902335456
2,56,201,13.971443574787404,0.008681892707294027,14,613,2125993,199.75282349015626,184.37884158793125,0.03177628170350287,0.02634762094837631,3412.7201350321247,8.067940552016985
3,229,113,13.501616807124222,0.006666852673046592,15,709,2472529,226.13209266572142,228.89549039675498,9.507776842367155,3.0161999772754684,3413.4497242257107,8.492569002123142
4,299,185,13.968093514045503,0.009577055722902792,15,709,2454425,237.4386972990075,184.66276727414404,0.30744593970799045,0.15611931820929476,3413.7160259275815,8.9171974522293
5,106,193,14.154795665373362,0.009305071781654392,12,441,1534186,178.343949044586,169.4049641681634,15.167228403941285,7.140728283445404,3413.804893685223,8.492569002123142
6,76,179,14.416121728832799,0.010892483409066584,12,441,1527924,169.42675159235668,150.22773120804936,2.6551622466752054,1.2063066089428403,3413.504827156649,8.067940552016985
7,149,52,14.40684059448514,0.012344544002232349,14,613,2116289,210.26612998963816,150.85359437359247,7.989030292070044,4.927487049560876,3415.2238059780875,8.492569002123142
8,96,103,15.642180114664221,0.025870097997707855,10,317,1089266,151.20589226976523,85.28624294065499,22.981350492213686,9.519320828170962,3413.2247847478475,8.492569002123142
9,147,158,16.287176722683654,0.033149828870167555,7,149,512522,103.6650158448722,63.22161330456091,31.397220555646744,19.603067667894855,3412.9196483971045,8.492569002123142
10,268,52,15.972989579074639,0.03151248589930496,8,197,678436,137.07871910624993,72.92016733555653,62.92040738586417,16.64935953648063,3416.8459350038297,9.766454352441613
11,175,77,15.903908519096277,0.030529615787565495,9,253,869554,141.8367083364434,75.46672612474173,38.49472051931671,13.445026823360175,3414.461554339973,8.9171974522293
12,309,141,16.28850196574136,0.03675629225191728,8,197,676200,119.19888617934777,63.20789957099585,28.21703719309361,18.69079275271016,3412.206910821436,8.492569002123142
13,167,182,16.543737323050948,0.04037771109781485,7,149,511571,103.6650158448722,56.12562387838258,30.485168406922167,9.71361975907248,3412.2209016393444,8.492569002123142
14,258,213,16.32840132621603,0.03918665960059205,8,197,676200,125.15883048831515,61.810312612931504,57.768013196246145,10.393088936737886,3413.093833780161,8.9171974522293
